task_name,count,pct
advise clients about colors and types of makeup and instruct them in makeup application techniques.,68.0,0.0068
advise clients about proper clothing and shoes.,23.0,0.0023
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",310.0,0.031
advise clients on financial and legal matters such as investments and taxes.,1373.0,0.1373
advise clients on how they could be helped by counseling.,462.0,0.0462
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",1748.0,0.1748
advise clients on nail care and use of products and colors.,45.0,0.0045000000000000005
advise clients on transportation and payment methods.,28.0,0.0028
"advise clients or community groups on issues related to improving general health, such as diet or exercise.",25.0,0.0025
"advise clients or community groups on issues related to risk or prevention of conditions such as lead poisoning, human immunodeficiency virus (hiv), prenatal substance abuse, or domestic violence.",15.0,0.0015
"advise clients or community groups on issues related to sanitation or hygiene, such as flossing or hand washing.",24.0,0.0024000000000000002
advise clients or community groups to ensure parental understanding of the importance of childhood immunizations and how to access immunization services.,17.0,0.0017
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat.",23.0,0.0023
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",50.0,0.005
advise corporations on issues involving corporate image projects or problems.,66.0,0.006600000000000001
advise customer about or perform maintenance of software system.,41.0,0.0041
"advise customers concerning equipment operation, maintenance, or programming.",257.0,0.0257
advise customers of necessary actions and strategies for debt repayment.,154.0,0.0154
advise customers on plant selection or care.,145.0,0.0145
advise customers on product usage to improve production.,71.0,0.0071
"advise customers on the selection of medication brands, medical equipment, or healthcare supplies.",43.0,0.0043
advise customers on use and care of merchandise.,103.0,0.0103
advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,28.0,0.0028
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",77.0,0.0077
advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,20.0,0.002
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",44.0,0.0044
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",18.0,0.0018
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",869.0,0.0869
"advise management on organizing, preparing, or implementing recruiting or retention programs.",46.0,0.0046
"advise management on short-term and long-term financial objectives, policies, and actions.",39.0,0.0039
"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs.",26.0,0.0026
"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",20.0,0.002
advise or assist in obtaining patents or meeting other legal requirements.,85.0,0.0085
advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.,29.0,0.0029
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",352.0,0.0352
advise participants in use of heat or ultraviolet treatments and hot baths.,44.0,0.0044
advise patients about recommended courses of treatment.,20.0,0.002
advise patients about therapeutic exercise and nutritional medicine regimens.,19.0,0.0019000000000000002
"advise patients and community members concerning diet, activity, hygiene, and disease prevention.",24.0,0.0024000000000000002
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",731.0,0.0731
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.",52.0,0.0052
"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",45.0,0.0045000000000000005
advise producers about improved products and techniques that could enhance their animal production efforts.,36.0,0.0036
"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",47.0,0.004699999999999999
"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested.",49.0,0.0049
advise students on academic and vocational curricula and career issues.,177.0,0.0177
advise students on academic and vocational curricula and on career issues.,2156.0,0.21559999999999999
"advise students on academic and vocational curricula, and on career issues.",265.0,0.0265
"advise students on academic and vocational curricula, career issues, and laboratory and field research.",68.0,0.0068
"advise students on course selection, career decisions, and other academic and vocational concerns.",44.0,0.0044
"advise students on internships, prospective employers, and job placement services.",159.0,0.015899999999999997
"advise students on issues such as course selection, progress toward graduation, and career decisions.",238.0,0.0238
"align, adjust, or calibrate equipment according to specifications.",16.0,0.0015999999999999999
"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",25.0,0.0025
analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,51.0,0.0051
analyze and classify risks and investments to determine their potential impacts on companies.,146.0,0.0146
analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.,24.0,0.0024000000000000002
analyze and evaluate robotic systems or prototypes.,25.0,0.0025
"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",205.0,0.0205
analyze and interpret data to increase the understanding of human social behavior.,32.0,0.0031999999999999997
analyze and interpret news and information received from various sources to broadcast the information.,163.0,0.016300000000000002
"analyze and interpret patient, nursing, or information systems data to improve nursing services.",32.0,0.0031999999999999997
"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses.",419.0,0.0419
"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs).",16.0,0.0015999999999999999
analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.,64.0,0.0063999999999999994
"analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",36.0,0.0036
"analyze and record test data to issue reports that use charts, graphs, or narratives.",145.0,0.0145
analyze and report computer network security breaches or attempted breaches.,561.0,0.0561
"analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",29.0,0.0029
analyze available data and consult with other scientists to determine parameters of experimentation and suitability of analytical models.,24.0,0.0024000000000000002
"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",53.0,0.0053
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.",457.0,0.0457
analyze characteristics of animals to identify and classify them.,286.0,0.0286
"analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan.",87.0,0.0087
"analyze competitive market strategies through analysis of related product, market, or share trends.",192.0,0.019200000000000002
analyze completed police reports to determine what additional information and investigative work is needed.,19.0,0.0019000000000000002
"analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation.",39.0,0.0039
"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",17.0,0.0017
"analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure.",197.0,0.0197
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,73.0,0.0073
analyze customer bills and utility rate structures to select optimal rate structures for customers.,35.0,0.0034999999999999996
"analyze data from surveys, old records, or case studies, using statistical software.",70.0,0.006999999999999999
"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems.",203.0,0.0203
analyze data to assess distance learning program status or to inform decisions for distance learning programs.,37.0,0.0036999999999999997
analyze data to determine answers to questions from customers or members of the public.,167.0,0.0167
analyze data to determine feasibility of product proposals.,56.0,0.0056
analyze details of sales territories to assess their growth potential and to set quotas.,17.0,0.0017
"analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.",39.0,0.0039
analyze developments in specific field to determine need for revisions in previously published materials and development of new material.,125.0,0.0125
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.",53.0,0.0053
analyze employment-related data and prepare required reports.,23.0,0.0023
analyze energy bills including utility rates or tariffs to gather historical energy usage data.,37.0,0.0036999999999999997
analyze equipment performance records to assess equipment functioning.,85.0,0.0085
analyze existing development or manufacturing procedures and suggest improvements.,18.0,0.0018
"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",85.0,0.0085
analyze experimental data and interpret results to write reports and summaries of findings.,948.0,0.0948
analyze financial activities of establishments or departments and provide input into budget planning and preparation processes.,26.0,0.0026
"analyze financial data such as income growth, quality of management, and market share to determine expected profitability of loans.",28.0,0.0028
"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures.",15.0,0.0015
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,1537.0,0.1537
analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.,75.0,0.0075
analyze genetic information to identify patients or families at risk for specific disorders or syndromes.,24.0,0.0024000000000000002
"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data.",26.0,0.0026
analyze information gathered by investigation and report findings and recommendations.,48.0,0.0048000000000000004
analyze information obtained from management to conceptualize and define operational problems.,754.0,0.0754
"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",336.0,0.0336
"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",1049.0,0.10490000000000001
"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",141.0,0.014100000000000001
"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",2286.0,0.22859999999999997
analyze laboratory findings to check the accuracy of the results.,25.0,0.0025
"analyze large molecular datasets such as raw microarray data, genomic sequence data, and proteomics data for clinical or basic research purposes.",357.0,0.0357
analyze market conditions to determine optimum times to execute securities transactions.,225.0,0.0225
"analyze network data to determine network usage, disk space availability, or server function.",73.0,0.0073
"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",2862.0,0.2862
"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing.",50.0,0.005
analyze or synthesize client data to draw conclusions or make recommendations for therapy.,109.0,0.0109
"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques.",1406.0,0.1406
"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.",518.0,0.0518
"analyze originals to evaluate color density, gradation highlights, middle tones, and shadows, using densitometers and knowledge of light and color.",19.0,0.0019000000000000002
analyze patrons' hair and other physical features to determine and recommend beauty treatment or suggest hair styles.,308.0,0.0308
analyze patrons' requests to determine needed information and assist in furnishing or locating that information.,633.0,0.0633
"analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials.",81.0,0.0081
analyze physical findings and medical histories to make diagnoses according to oriental medicine traditions.,36.0,0.0036
analyze potential loan markets and develop referral networks to locate prospects for loans.,52.0,0.0052
analyze potential loan markets to find opportunities to promote loans and financial services.,94.0,0.009399999999999999
analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.,16.0,0.0015999999999999999
"analyze price proposals, financial reports, and other data and information to determine reasonable prices.",46.0,0.0046
analyze problems to develop solutions involving computer hardware and software.,73.0,0.0073
"analyze recipes to assign prices to menu items, based on food, labor, and overhead costs.",91.0,0.0091
"analyze records, reports, test results, or examination information to diagnose medical condition of patient.",525.0,0.0525
"analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",43.0,0.0043
"analyze research data to determine its significance, using computers.",105.0,0.0105
analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,20.0,0.002
analyze system performance or operational requirements.,686.0,0.0686
analyze target companies or investment opportunities to inform investment decisions.,780.0,0.078
analyze technology trends to identify markets for future product development or to improve sales of existing products.,99.0,0.009899999999999999
"analyze test data, making computations as necessary, to determine test results.",133.0,0.013300000000000001
analyze test results and develop a treatment plan.,30.0,0.003
"analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems.",33.0,0.0033000000000000004
analyze the effectiveness of marketing tactics or channels.,43.0,0.0043
"analyze the efficiency of water delivery structures, such as dams, tainter gates, canals, pipes, penstocks, or cofferdams.",15.0,0.0015
"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",104.0,0.0104
"analyze the layout, instrumentation, or function of electrical generation or transmission facilities.",154.0,0.0154
"analyze the probable outcomes of cases, using knowledge of legal precedents.",63.0,0.0063
"analyze training needs to design employee development, language training and health and safety programs.",21.0,0.0021
analyze training needs to develop new training programs or modify and improve existing programs.,47.0,0.004699999999999999
"analyze trends in sales prices, construction costs, and rents, to assess property values or determine the accuracy of assessments.",94.0,0.009399999999999999
analyze user needs and recommend appropriate hardware.,88.0,0.0088
analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,5671.0,0.5670999999999999
"analyze, estimate, or report production costs.",18.0,0.0018
"analyze, interpret, or create graphical representations of energy data, using engineering software.",323.0,0.0323
"analyze, interpret, or disseminate system performance data.",299.0,0.0299
answer applicants' questions about benefits and claim procedures.,89.0,0.0089
answer clients' questions about the purposes and details of financial plans and strategies.,801.0,0.08009999999999999
"answer clients' questions regarding construction work, financing, maintenance, repairs, and appraisals.",144.0,0.0144
"answer customer inquiries or explain cost, availability, policies, and procedures of facilities.",86.0,0.0086
answer customers' questions about merchandise and advise customers on merchandise selection.,328.0,0.0328
answer customers' questions about postal services and regulations.,42.0,0.0042
"answer customers' questions about products, prices, availability, or credit terms.",4174.0,0.4174
"answer customers' questions about products, prices, availability, product uses, and credit terms.",1780.0,0.178
"answer customers' questions, and explain available services such as deposit accounts, bonds, and securities.",67.0,0.0067
"answer customers' questions, and provide information on procedures or policies.",11683.0,1.1683000000000001
"answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.",30.0,0.003
"answer inquiries from current or prospective customers regarding methods, materials, or price ranges.",686.0,0.0686
"answer inquiries from the general public regarding judicial procedures, court appearances, trial dates, adjournments, outstanding warrants, summonses, subpoenas, witness fees, or payment of fines.",59.0,0.0059
answer inquiries from the public concerning animal control operations.,331.0,0.033100000000000004
"answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",65.0,0.0065
"answer inquiries pertaining to hotel services, guest registration, and travel directions, or make recommendations regarding shopping, dining, or entertainment.",185.0,0.0185
"answer inquiries regarding information such as schedules, accommodations, procedures, and policies.",2752.0,0.2752
"answer passengers' questions about flights, aircraft, weather, travel routes and services, arrival times, or schedules.",52.0,0.0052
answer questions about game rules and casino policies.,32.0,0.0031999999999999997
answer questions about game rules or casino policies.,23.0,0.0023
answer questions about product features and benefits.,1224.0,0.12240000000000001
answer questions about records or files.,207.0,0.0207
answer questions and provide future tax planning to clients.,33.0,0.0033000000000000004
"answer questions from passengers concerning train rules, stations, and timetable information.",45.0,0.0045000000000000005
answer questions from taxpayers and assist them in completing tax forms.,64.0,0.0063999999999999994
answer questions from the public and media.,68.0,0.0068
"answer questions or provide advice to the public regarding licensing policies, procedures, or regulations.",114.0,0.0114
"answer questions regarding examinations, eligibility, salaries, benefits, and other pertinent information.",197.0,0.0197
"answer questions regarding mail regulations and procedures, postage rates, and post office boxes.",33.0,0.0033000000000000004
answer questions regarding the store and its merchandise.,467.0,0.046700000000000005
"answer routine telephone or in-person reference inquiries, referring patrons to librarians for further assistance, when necessary.",23.0,0.0023
answer telephone calls and respond to inquiries or transfer calls.,16.0,0.0015999999999999999
"answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals.",348.0,0.0348
answer telephones to provide information and receive orders.,44.0,0.0044
"answer telephones, direct calls, and take messages.",109.0,0.0109
"answer telephones, responding to questions or requests.",199.0,0.0199
answer user inquiries regarding computer software or hardware operation to resolve problems.,365.0,0.0365
apply customer feedback to service improvement efforts.,28.0,0.0028
"apply elements of music theory to create musical and tonal structures, including harmonies and melodies.",42.0,0.0042
apply finger and hand pressure to specific points of the body.,20.0,0.002
"apply mathematical or statistical techniques to address practical issues in finance, such as derivative valuation, securities trading, risk management, or financial market regulation.",116.0,0.0116
"apply nanotechnology to improve the performance or reduce the environmental impact of energy products, such as fuel cells or solar cells.",17.0,0.0017
"apply relevant laws, regulations, policies, or precedents to reach conclusions.",44.0,0.0044
apply selected research findings to practice.,22.0,0.0022
"apply standardized mathematical formulas, principles, and methodology to the solution of technological problems involving engineering or physical science.",23.0,0.0023
"apply story development, directing, cinematography, and editing to animation to create storyboards that show the flow of the animation and map out key scenes and characters.",34.0,0.0034
"appoint individuals to faculty positions, and evaluate their performance.",21.0,0.0021
"appraise property values, assessing income potential when relevant.",230.0,0.023
"appraise, evaluate, and inventory real property and equipment, recording information such as the description, value, and location of property.",67.0,0.0067
"arrange and conduct sports-related activities, such as training camps, skill-improvement courses, clinics, and pre-season try-outs.",20.0,0.002
"arrange and mount typeset material and illustrations into paste-ups for printing reproduction, based on artists' or editors' layouts.",21.0,0.0021
"arrange conference, meeting, or travel reservations for office personnel.",141.0,0.014100000000000001
"arrange financing of deals from sources such as financial institutions, agencies, or public or private companies.",78.0,0.0078
arrange for advertising or posting of job vacancies and notify eligible workers of position availability.,341.0,0.0341
"arrange for debt repayment or establish repayment schedules, based on customers' financial situations.",37.0,0.0036999999999999997
"arrange for tour or expedition details such as accommodations, transportation, equipment, and the availability of medical personnel.",30.0,0.003
arrange interviews with people who can provide information about a story.,22.0,0.0022
arrange merchandise and sales promotion displays or issue sales promotion materials to customers.,22.0,0.0022
"arrange music composed by others, changing the music to achieve desired effects.",49.0,0.0049
"arrange tours, taxis, or restaurant reservations for customers.",103.0,0.0103
"ask questions in accordance with instructions to obtain various specified information, such as person's name, address, age, religious preference, or state of residency.",79.0,0.007899999999999999
ask questions that will help clients identify their feelings and behaviors.,208.0,0.0208
"assemble and compile documents for loan closings, such as title abstracts, insurance forms, loan forms, and tax receipts.",40.0,0.004
assemble documentation packages and produce drawing sets which are checked by an engineer or an architect.,48.0,0.0048000000000000004
"assess clients' overall financial situation by reviewing income, assets, debts, expenses, credit reports, or other financial information.",45.0,0.0045000000000000005
"assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops.",41.0,0.0041
"assess current or future customer needs and priorities through communicating directly with customers, conducting surveys, or other methods.",34.0,0.0034
assess existing facilities' needs for new or modified telecommunications systems.,36.0,0.0036
assess nature and extent of illness or injury to establish and prioritize medical procedures.,15.0,0.0015
"assess nutritional needs, diet restrictions and current health plans to develop and implement dietary-care plans and provide nutritional counseling.",523.0,0.0523
"assess or propose sustainability initiatives, considering factors such as cost effectiveness, technical feasibility, and acceptance.",16.0,0.0015999999999999999
assess patients for risk of suicide attempts.,45.0,0.0045000000000000005
assess patients' general physical appearance to make diagnoses.,47.0,0.004699999999999999
assess patients' mental and physical status based on the presenting symptoms and complaints.,49.0,0.0049
assess patients' response to treatments and modify treatments according to protocol if necessary.,15.0,0.0015
"assess performance following athletic competition, identifying strengths and weaknesses and making adjustments to improve future performance.",54.0,0.005399999999999999
"assess project feasibility by analyzing technology, resource needs, and market demand.",109.0,0.0109
assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.,182.0,0.0182
"assess staffing needs and recruit staff, using methods such as newspaper advertisements or attendance at job fairs.",35.0,0.0034999999999999996
assess students' dancing abilities to determine where improvement or change is needed.,21.0,0.0021
"assess the identity, strength, or purity of medications.",212.0,0.0212
assess the nature and level of threats so that the scope of the problem can be determined.,101.0,0.0101
assess the usefulness of pre-developed application packages and adapt them to a user environment.,3785.0,0.3785
"assess training needs through surveys, interviews with employees, focus groups, or consultation with managers, instructors, or customer representatives.",52.0,0.0052
assign and grade class work and homework.,87.0,0.0087
assign or schedule tasks to meet work priorities and goals.,28.0,0.0028
assist clients in obtaining insurance reimbursements.,34.0,0.0034
"assist cooks and kitchen staff with various tasks as needed, and provide cooks with needed items.",15.0,0.0015
assist customers by providing information and resolving their complaints.,804.0,0.0804
"assist customers, such as responding to customer complaints and updating them about back-ordered parts.",38.0,0.0038000000000000004
"assist engineers in the design, configuration, or application of robotic systems.",121.0,0.0121
"assist engineers to design or develop electrochemical devices, such as solid oxide membranes or other products for sustainable applications.",24.0,0.0024000000000000002
assist faculty members or staff with student conferences.,82.0,0.0082
"assist in delivery, care, or feeding of infants.",24.0,0.0024000000000000002
assist in laying out material for publication.,122.0,0.012199999999999999
assist in locating housing for displaced individuals.,33.0,0.0033000000000000004
"assist in planning food budgets, using charts or sample budgets.",53.0,0.0053
"assist in the assessment, acquisition, or deployment of new electronic document management systems.",93.0,0.0093
assist individuals in filling out applications or questionnaires.,18.0,0.0018
"assist nanoscientists, engineers, or technologists in writing process specifications or documentation.",25.0,0.0025
"assist passengers in placing carry-on luggage in overhead, garment, or under-seat storage.",19.0,0.0019000000000000002
assist patients in organizing their health care system activities.,83.0,0.0083
assist scientists or engineers in the conduct of photonic experiments.,29.0,0.0029
assist students who need extra help with their coursework outside of class.,19697.0,1.9697
"assist students who need extra help, such as by tutoring and preparing and implementing remedial programs.",34.0,0.0034
attend investment briefings or consult financial media to stay abreast of relevant investment markets.,21.0,0.0021
attend meetings to record minutes.,24.0,0.0024000000000000002
attend or view productions to maintain knowledge of available actors.,65.0,0.0065
"attend sales or trade meetings or read related publications to obtain information about market conditions, business trends, environmental regulations, or industry developments.",69.0,0.0069
"attend to the needs of the bereaved, such as by offering comfort, counseling, or after care programs.",64.0,0.0063999999999999994
audition and interview performers to match their attributes to specific roles or to increase the pool of available acting talent.,21.0,0.0021
authenticate and appraise historical documents and archival materials.,24.0,0.0024000000000000002
"author or publish professional articles, internal documents, and instructional materials.",81.0,0.0081
back up files from web sites to local directories for instant recovery in case of problems.,18.0,0.0018
back up network data.,35.0,0.0034999999999999996
"bake, roast, broil, and steam meats, fish, vegetables, and other foods.",112.0,0.0112
"bleach, dye, or tint hair, using applicator or brush.",21.0,0.0021
"book transportation and hotel reservations, using computer terminal or telephone.",16.0,0.0015999999999999999
"break systems into their component parts, assign numerical values to each component, and examine the mathematical relationships between them.",393.0,0.0393
"broadcast weather conditions, forecasts, or severe weather warnings to the public via television, radio, or the internet or provide this information to the news media.",16.0,0.0015999999999999999
broadcast weather reports and warnings.,23.0,0.0023
build and update digital databases.,50.0,0.005
build or assemble robotic devices or systems.,16.0,0.0015999999999999999
"build or repair cabinets, doors, frameworks, floors, or other wooden fixtures used in buildings, using woodworking machines, carpenter's hand tools, or power tools.",19.0,0.0019000000000000002
buy merchandise or commodities for resale to wholesale or retail consumers.,27.0,0.0026999999999999997
calculate amount of debt and funds available to plan methods of payoff and to estimate time for debt liquidation.,264.0,0.026400000000000003
"calculate amounts of required materials and estimate costs, based on surface measurements or work orders.",34.0,0.0034
"calculate and quote rates for tours, stocks, insurance policies, or other products or services.",40.0,0.004
calculate anticipated drug usage for a prescribed period.,16.0,0.0015999999999999999
"calculate costs of materials, overhead, and other expenses, based on estimates, quotations and price lists.",17.0,0.0017
calculate costs or savings for water- or energy-efficient appliances or systems.,39.0,0.0039
"calculate dimensions or tolerances, using instruments such as micrometers or vernier calipers.",44.0,0.0044
"calculate figures, such as required amounts of labor or materials, manufacturing costs, or wages, using pricing schedules, adding machines, calculators, or computers.",58.0,0.0058
"calculate orbits and determine sizes, shapes, brightness, and motions of different celestial bodies.",110.0,0.011000000000000001
"calculate purchase subtotals, taxes, and shipping costs for submission to customers.",18.0,0.0018
"calculate revenue, sales, and expenses, using financial accounting or spreadsheet software.",39.0,0.0039
"calculate, prepare, and issue bills, invoices, account statements, and other financial statements according to established procedures.",68.0,0.0068
"calculate, review, and correct errors on interest, principal, payment, and closing costs, using computers or calculators.",49.0,0.0049
calibrate data collection equipment.,23.0,0.0023
calibrate testing instruments.,21.0,0.0021
"calibrate, troubleshoot, or repair equipment and correct malfunctions as needed.",31.0,0.0031000000000000003
"call on policyholders to deliver and explain policy, to analyze insurance program and suggest additions or changes, or to change beneficiaries.",43.0,0.0043
call on prospective customers to explain company services or to solicit new business.,75.0,0.0075
cancel orders based on customer requests or inventory or delivery problems.,28.0,0.0028
"care for children or elderly persons by overseeing their activities, providing companionship, and assisting them with dressing, bathing, eating, and other needs.",56.0,0.0056
change dressings on wounds.,31.0,0.0031000000000000003
check adhesives to ensure that they will work and will remain durable.,20.0,0.002
"check air pressure in vehicle tires; and levels of fuel, motor oil, transmission, radiator, battery, and other fluids; and add air, oil, water, or other fluids, as required.",27.0,0.0026999999999999997
check and analyze operating system or application logfiles regularly to verify proper system performance.,21.0,0.0021
"check completed work for spelling, grammar, punctuation, and format.",152.0,0.015200000000000002
"check construction plans, design calculations, or cost estimations to ensure completeness, accuracy, or conformity to engineering standards or practices.",30.0,0.003
"check data input or verify totals on forms prepared by others to detect errors in arithmetic, data entry, or procedures.",83.0,0.0083
"check electrical installation for proper wiring, polarity, grounding, or integrity of terminations.",61.0,0.0060999999999999995
check identification of customers to verify age requirements for purchase of alcohol.,16.0,0.0015999999999999999
check import or export documentation to determine cargo contents and use tariff coding system to classify goods according to fee or tariff group.,21.0,0.0021
"check original texts or confer with authors to ensure that translations retain the content, meaning, and feeling of the original material.",44.0,0.0044
"check reference materials, such as books, news files, or public records, to obtain relevant facts.",122.0,0.012199999999999999
"check the condition of a vehicle's tires, brakes, windshield wipers, lights, oil, fuel, water, and safety equipment to ensure that everything is in working order.",21.0,0.0021
check translations of technical terms and terminology to ensure that they are accurate and remain consistent throughout translation revisions.,44.0,0.0044
