styrk08,platform,date_start,soc,task_name,pct,n_classified,directive_share,feedback_loop_share,task_iteration_share,validation_share,learning_share
1120,api,2026-02-05,11-1011,"interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",0.006,41.0,1.0,0.0,0.0,0.0,0.0
1120,api,2026-02-05,11-1021,"develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",0.0049,31.0,1.0,0.0,0.0,0.0,0.0
1120,api,2026-02-05,11-1011,direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,0.0041,31.0,1.0,0.0,0.0,0.0,0.0
1120,api,2026-02-05,11-1011,"direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",0.0029,19.0,1.0,0.0,0.0,0.0,0.0
1120,api,2026-02-05,11-1021,monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,0.002,19.0,1.0,0.0,0.0,0.0,0.0
1211,api,2026-02-05,11-3031,develop or analyze information to assess the current or future financial status of firms.,0.0592,532.0,0.8684,0.0,0.1316,0.0,0.0
1211,api,2026-02-05,11-3031,analyze and classify risks and investments to determine their potential impacts on companies.,0.0334,313.0,0.9297,0.0,0.0703,0.0,0.0
1211,api,2026-02-05,11-3031,establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,0.0235,135.0,0.8519,0.1481,0.0,0.0,0.0
1211,api,2026-02-05,11-3031,review reports of securities transactions or price lists to analyze market conditions.,0.0226,205.0,1.0,0.0,0.0,0.0,0.0
1211,api,2026-02-05,11-3031,"examine, evaluate, or process loan applications.",0.0168,131.0,1.0,0.0,0.0,0.0,0.0
1211,api,2026-02-05,11-3031,"maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.",0.0049,41.0,0.5122,0.0,0.0,0.0,0.4878
1211,api,2026-02-05,11-3031,"plan, direct, and coordinate risk and insurance programs of establishments to control risks and losses.",0.0048,36.0,1.0,0.0,0.0,0.0,0.0
1211,api,2026-02-05,11-3031,recruit staff members.,0.0043,32.0,1.0,0.0,0.0,0.0,0.0
1211,api,2026-02-05,11-3031,"prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies.",0.0035,28.0,1.0,0.0,0.0,0.0,0.0
1211,api,2026-02-05,11-3031,oversee the flow of cash or financial instruments.,0.0024,18.0,1.0,0.0,0.0,0.0,0.0
1211,api,2026-02-05,11-3031,prepare operational or risk reports for management analysis.,0.002,16.0,1.0,0.0,0.0,0.0,0.0
1211,api,2026-02-05,11-3031,"receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",0.0019,15.0,1.0,0.0,0.0,0.0,0.0
1212,api,2026-02-05,11-3121,"provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion and employee benefits.",0.0199,187.0,0.8289,0.0,0.0,0.0,0.1711
1212,api,2026-02-05,11-3131,"develop and organize training manuals, multimedia visual aids, and other educational materials.",0.0057,41.0,1.0,0.0,0.0,0.0,0.0
1212,api,2026-02-05,11-3131,"evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.",0.0053,26.0,1.0,0.0,0.0,0.0,0.0
1212,api,2026-02-05,11-3121,"develop, administer and evaluate applicant tests.",0.0041,25.0,1.0,0.0,0.0,0.0,0.0
1212,api,2026-02-05,11-3131,"plan, develop, and provide training and staff development programs, using knowledge of the effectiveness of methods such as classroom training, demonstrations, on-the-job training, meetings, conferences, and workshops.",0.0039,24.0,1.0,0.0,0.0,0.0,0.0
1212,api,2026-02-05,11-3121,"identify staff vacancies and recruit, interview and select applicants.",0.0022,19.0,1.0,0.0,0.0,0.0,0.0
1212,api,2026-02-05,11-3111,"mediate between benefits providers and employees, such as by assisting in handling employees' benefits-related questions or taking suggestions.",0.002,15.0,1.0,0.0,0.0,0.0,0.0
1212,api,2026-02-05,11-3111,"identify and implement benefits to increase the quality of life for employees, by working with brokers and researching benefits issues.",0.0017,16.0,1.0,0.0,0.0,0.0,0.0
1212,api,2026-02-05,11-3131,analyze training needs to develop new training programs or modify and improve existing programs.,0.0015,15.0,1.0,0.0,0.0,0.0,0.0
1212,api,2026-02-05,11-3121,analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,0.0012,22.0,1.0,0.0,0.0,0.0,0.0
1212,api,2026-02-05,11-3111,analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,0.0012,22.0,1.0,0.0,0.0,0.0,0.0
1212,api,2026-02-05,11-3121,"maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",0.00075,15.0,1.0,0.0,0.0,0.0,0.0
1212,api,2026-02-05,11-3111,"maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",0.00075,15.0,1.0,0.0,0.0,0.0,0.0
1213,api,2026-02-05,11-9199,"identify, investigate, or resolve security breaches.",0.5372,4261.0,0.72,0.0444,0.0296,0.191,0.015
1213,api,2026-02-05,11-9199,"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",0.182,1458.0,0.8025,0.0281,0.0295,0.1276,0.0123
1213,api,2026-02-05,11-9199,monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.,0.0918,860.0,0.8512,0.0581,0.057,0.0337,0.0
1213,api,2026-02-05,11-9199,"present investment information, such as product risks, fees, or fund performance statistics.",0.0632,579.0,0.8653,0.0,0.0397,0.0,0.095
1213,api,2026-02-05,11-9199,select specific investments or investment mixes for purchase by an investment fund.,0.0414,383.0,0.9504,0.0496,0.0,0.0,0.0
1213,api,2026-02-05,11-9199,"develop or manage integrated security controls to ensure confidentiality, accountability, recoverability, or audit ability of sensitive information, proprietary information, or information technology resources.",0.0335,224.0,0.933,0.0,0.0,0.067,0.0
1213,api,2026-02-05,11-9199,"collect and analyze security data to determine security needs, security program goals, or program accomplishments.",0.0307,238.0,1.0,0.0,0.0,0.0,0.0
1213,api,2026-02-05,11-9199,select or direct the execution of trades.,0.03,266.0,1.0,0.0,0.0,0.0,0.0
1213,api,2026-02-05,11-9199,assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.,0.0298,266.0,0.7218,0.0,0.0564,0.2218,0.0
1213,api,2026-02-05,11-9199,"conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services.",0.0284,259.0,0.8263,0.0,0.0734,0.1004,0.0
1213,api,2026-02-05,11-9199,"perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",0.022,183.0,1.0,0.0,0.0,0.0,0.0
1213,api,2026-02-05,11-9199,verify that software technology is in place to adequately provide oversight and monitoring in all required areas.,0.0197,152.0,0.8684,0.0,0.0,0.1316,0.0
1213,api,2026-02-05,11-9199,identify group or individual target investors for a specific fund.,0.0188,175.0,0.8857,0.0,0.1143,0.0,0.0
1213,api,2026-02-05,11-9199,review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.,0.014,129.0,0.5736,0.0,0.1628,0.2636,0.0
1213,api,2026-02-05,11-9199,identify potential for loss and develop strategies to eliminate it.,0.0137,111.0,1.0,0.0,0.0,0.0,0.0
1219,api,2026-02-05,11-9199,"identify, investigate, or resolve security breaches.",0.5372,4261.0,0.72,0.0444,0.0296,0.191,0.015
1219,api,2026-02-05,11-9199,"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",0.182,1458.0,0.8025,0.0281,0.0295,0.1276,0.0123
1219,api,2026-02-05,11-9199,monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.,0.0918,860.0,0.8512,0.0581,0.057,0.0337,0.0
1219,api,2026-02-05,11-3061,administer online purchasing systems.,0.0685,635.0,0.8551,0.0819,0.0362,0.0268,0.0
1219,api,2026-02-05,11-9199,"present investment information, such as product risks, fees, or fund performance statistics.",0.0632,579.0,0.8653,0.0,0.0397,0.0,0.095
1219,api,2026-02-05,11-9199,select specific investments or investment mixes for purchase by an investment fund.,0.0414,383.0,0.9504,0.0496,0.0,0.0,0.0
1219,api,2026-02-05,11-9199,"develop or manage integrated security controls to ensure confidentiality, accountability, recoverability, or audit ability of sensitive information, proprietary information, or information technology resources.",0.0335,224.0,0.933,0.0,0.0,0.067,0.0
1219,api,2026-02-05,11-9199,"collect and analyze security data to determine security needs, security program goals, or program accomplishments.",0.0307,238.0,1.0,0.0,0.0,0.0,0.0
1219,api,2026-02-05,11-2031,"develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",0.0306,281.0,0.8861,0.0,0.1139,0.0,0.0
1219,api,2026-02-05,11-9199,select or direct the execution of trades.,0.03,266.0,1.0,0.0,0.0,0.0,0.0
1219,api,2026-02-05,11-9199,assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.,0.0298,266.0,0.7218,0.0,0.0564,0.2218,0.0
1219,api,2026-02-05,11-9199,"conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services.",0.0284,259.0,0.8263,0.0,0.0734,0.1004,0.0
1219,api,2026-02-05,11-9199,"perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",0.022,183.0,1.0,0.0,0.0,0.0,0.0
1219,api,2026-02-05,11-9199,verify that software technology is in place to adequately provide oversight and monitoring in all required areas.,0.0197,152.0,0.8684,0.0,0.0,0.1316,0.0
1219,api,2026-02-05,11-9199,identify group or individual target investors for a specific fund.,0.0188,175.0,0.8857,0.0,0.1143,0.0,0.0
1221,api,2026-02-05,11-2022,resolve customer complaints regarding sales and service.,0.0428,380.0,0.7921,0.1658,0.0421,0.0,0.0
1221,api,2026-02-05,11-2021,"formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",0.0122,85.0,1.0,0.0,0.0,0.0,0.0
1221,api,2026-02-05,11-2021,"identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",0.0063,57.0,0.7018,0.0,0.2982,0.0,0.0
1221,api,2026-02-05,11-2022,represent company at trade association meetings to promote products.,0.0058,103.0,1.0,0.0,0.0,0.0,0.0
1221,api,2026-02-05,11-2021,compile lists describing product or service offerings.,0.0046,42.0,1.0,0.0,0.0,0.0,0.0
1221,api,2026-02-05,11-2021,conduct economic or commercial surveys to identify potential markets for products or services.,0.0039,33.0,1.0,0.0,0.0,0.0,0.0
1221,api,2026-02-05,11-2022,confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.,0.0023,20.0,1.0,0.0,0.0,0.0,0.0
1221,api,2026-02-05,11-2022,"direct and coordinate activities involving sales of manufactured products, services, commodities, real estate or other subjects of sale.",0.0019,15.0,1.0,0.0,0.0,0.0,0.0
1222,api,2026-02-05,11-2011,"plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",0.0958,915.0,0.7738,0.0361,0.1705,0.0,0.0197
1222,api,2026-02-05,11-2011,monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,0.0632,580.0,0.9034,0.0,0.0362,0.0,0.0603
1222,api,2026-02-05,11-2011,gather and organize information to plan advertising campaigns.,0.0347,305.0,1.0,0.0,0.0,0.0,0.0
1222,api,2026-02-05,11-2031,"develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",0.0306,281.0,0.8861,0.0,0.1139,0.0,0.0
1222,api,2026-02-05,11-2011,"inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",0.0284,274.0,0.6606,0.0,0.0693,0.2701,0.0
1222,api,2026-02-05,11-2031,"write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",0.0179,156.0,0.7821,0.0,0.2179,0.0,0.0
1222,api,2026-02-05,11-2011,track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms.,0.0167,125.0,1.0,0.0,0.0,0.0,0.0
1222,api,2026-02-05,11-2011,contact organizations to explain services and facilities offered.,0.0088,75.0,1.0,0.0,0.0,0.0,0.0
1222,api,2026-02-05,11-2011,analyze the effectiveness of marketing tactics or channels.,0.007,61.0,1.0,0.0,0.0,0.0,0.0
1222,api,2026-02-05,11-2011,represent company at trade association meetings to promote products.,0.0058,103.0,1.0,0.0,0.0,0.0,0.0
1222,api,2026-02-05,11-2031,"identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",0.0047,32.0,1.0,0.0,0.0,0.0,0.0
1222,api,2026-02-05,11-2011,"conduct research on consumer opinions and buying habits, and identify target audiences for green products, services, or technologies.",0.0046,32.0,1.0,0.0,0.0,0.0,0.0
1222,api,2026-02-05,11-2011,plan and execute advertising policies and strategies for organizations.,0.0038,18.0,1.0,0.0,0.0,0.0,0.0
1222,api,2026-02-05,11-2031,"produce films and other video products, regulate their distribution, and operate film library.",0.0036,29.0,1.0,0.0,0.0,0.0,0.0
1222,api,2026-02-05,11-2031,"establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.",0.0033,25.0,1.0,0.0,0.0,0.0,0.0
1223,api,2026-02-05,11-9121,"code, evaluate, or interpret collected study data.",0.1483,1312.0,0.8056,0.0,0.0229,0.1715,0.0
1223,api,2026-02-05,11-9041,"present and explain proposals, reports, or findings to clients.",0.0117,92.0,0.8261,0.0,0.1739,0.0,0.0
1223,api,2026-02-05,11-9121,"review project activities and prepare and review research, testing, or operational reports.",0.0102,77.0,1.0,0.0,0.0,0.0,0.0
1223,api,2026-02-05,11-9121,"review proposed study protocols to evaluate factors such as sample collection processes, data management plans, and potential subject risks.",0.0092,72.0,1.0,0.0,0.0,0.0,0.0
1223,api,2026-02-05,11-9121,conduct own research in field of expertise.,0.0076,52.0,1.0,0.0,0.0,0.0,0.0
1223,api,2026-02-05,11-9121,"prepare study-related documentation such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, and progress reports.",0.006,51.0,1.0,0.0,0.0,0.0,0.0
1223,api,2026-02-05,11-9121,"conduct, or oversee the conduct of, chemical, physical, and biological water quality monitoring or sampling to ensure compliance with water quality standards.",0.0032,23.0,1.0,0.0,0.0,0.0,0.0
1223,api,2026-02-05,11-9121,"monitor study activities to ensure compliance with protocols and with all relevant local, federal, and state regulatory and institutional polices.",0.0029,16.0,1.0,0.0,0.0,0.0,0.0
1223,api,2026-02-05,11-9041,"administer highway planning, construction, or maintenance.",0.0019,17.0,1.0,0.0,0.0,0.0,0.0
1223,api,2026-02-05,11-9121,advise or assist in obtaining patents or meeting other legal requirements.,0.0018,15.0,1.0,0.0,0.0,0.0,0.0
1321,api,2026-02-05,11-3051,confer with marketing and sales departments to define client requirements and expectations.,0.0051,43.0,1.0,0.0,0.0,0.0,0.0
1321,api,2026-02-05,11-3051,evaluate power production or demand trends to identify opportunities for improved operations.,0.0018,15.0,1.0,0.0,0.0,0.0,0.0
1322,api,2026-02-05,11-9199,"identify, investigate, or resolve security breaches.",0.5372,4261.0,0.72,0.0444,0.0296,0.191,0.015
1322,api,2026-02-05,11-9199,"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment.",0.182,1458.0,0.8025,0.0281,0.0295,0.1276,0.0123
1322,api,2026-02-05,11-9199,monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.,0.0918,860.0,0.8512,0.0581,0.057,0.0337,0.0
1322,api,2026-02-05,11-9199,"present investment information, such as product risks, fees, or fund performance statistics.",0.0632,579.0,0.8653,0.0,0.0397,0.0,0.095
1322,api,2026-02-05,11-9199,select specific investments or investment mixes for purchase by an investment fund.,0.0414,383.0,0.9504,0.0496,0.0,0.0,0.0
1322,api,2026-02-05,11-9199,"develop or manage integrated security controls to ensure confidentiality, accountability, recoverability, or audit ability of sensitive information, proprietary information, or information technology resources.",0.0335,224.0,0.933,0.0,0.0,0.067,0.0
1322,api,2026-02-05,11-9199,"collect and analyze security data to determine security needs, security program goals, or program accomplishments.",0.0307,238.0,1.0,0.0,0.0,0.0,0.0
1322,api,2026-02-05,11-9199,select or direct the execution of trades.,0.03,266.0,1.0,0.0,0.0,0.0,0.0
1322,api,2026-02-05,11-9199,assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.,0.0298,266.0,0.7218,0.0,0.0564,0.2218,0.0
1322,api,2026-02-05,11-9199,"conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services.",0.0284,259.0,0.8263,0.0,0.0734,0.1004,0.0
1322,api,2026-02-05,11-9199,"perform or evaluate research, such as detailed company or industry analyses, to inform financial forecasting, decision making, or valuation.",0.022,183.0,1.0,0.0,0.0,0.0,0.0
1322,api,2026-02-05,11-9199,verify that software technology is in place to adequately provide oversight and monitoring in all required areas.,0.0197,152.0,0.8684,0.0,0.0,0.1316,0.0
1322,api,2026-02-05,11-9199,identify group or individual target investors for a specific fund.,0.0188,175.0,0.8857,0.0,0.1143,0.0,0.0
1322,api,2026-02-05,11-9199,review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.,0.014,129.0,0.5736,0.0,0.1628,0.2636,0.0
1322,api,2026-02-05,11-9199,identify potential for loss and develop strategies to eliminate it.,0.0137,111.0,1.0,0.0,0.0,0.0,0.0
1323,api,2026-02-05,11-9021,"confer with supervisory personnel, owners, contractors, or design professionals to discuss and resolve matters, such as work procedures, complaints, or construction problems.",0.0067,48.0,1.0,0.0,0.0,0.0,0.0
1323,api,2026-02-05,11-9021,study job specifications to determine appropriate construction methods.,0.0046,41.0,1.0,0.0,0.0,0.0,0.0
1323,api,2026-02-05,11-9021,"interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients.",0.004,22.0,1.0,0.0,0.0,0.0,0.0
1323,api,2026-02-05,11-9021,"plan, organize, or direct activities concerned with the construction or maintenance of structures, facilities, or systems.",0.0036,29.0,1.0,0.0,0.0,0.0,0.0
1323,api,2026-02-05,11-9021,determine labor requirements for dispatching workers to construction sites.,0.0023,18.0,1.0,0.0,0.0,0.0,0.0
1324,api,2026-02-05,11-3071,"monitor operations to ensure that staff members comply with administrative policies and procedures, safety rules, union contracts, environmental policies, or government regulations.",0.0681,480.0,0.9458,0.0,0.0,0.0542,0.0
1324,api,2026-02-05,11-3071,"communicate freight transportation information to customers or suppliers, using transportation management, electronic logistics marketplace, or electronic freight information systems, to improve efficiency, speed, or quality of transportation services.",0.0202,188.0,1.0,0.0,0.0,0.0,0.0
1324,api,2026-02-05,11-3071,"resolve problems concerning transportation, logistics systems, imports or exports, or customer issues.",0.0146,105.0,1.0,0.0,0.0,0.0,0.0
1324,api,2026-02-05,11-3071,analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.,0.0055,43.0,1.0,0.0,0.0,0.0,0.0
1324,api,2026-02-05,11-3071,"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services.",0.0032,20.0,1.0,0.0,0.0,0.0,0.0
1324,api,2026-02-05,11-3071,"track and trace goods while they are en route to their destinations, expediting orders when necessary.",0.0032,24.0,1.0,0.0,0.0,0.0,0.0
1324,api,2026-02-05,11-3071,"prepare or direct preparation of correspondence, reports, and operations, maintenance, and safety manuals.",0.0031,16.0,1.0,0.0,0.0,0.0,0.0
1324,api,2026-02-05,11-3071,direct investigations to verify and resolve customer or shipper complaints.,0.002,17.0,1.0,0.0,0.0,0.0,0.0
1324,api,2026-02-05,11-3071,respond to customers' or shippers' questions and complaints regarding storage and distribution services.,0.0019,15.0,1.0,0.0,0.0,0.0,0.0
1324,api,2026-02-05,11-3071,issue shipping instructions and provide routing information to ensure that delivery times and locations are coordinated.,0.0015,15.0,1.0,0.0,0.0,0.0,0.0
1330,api,2026-02-05,11-3021,"consult with users, management, vendors, and technicians to assess computing needs and system requirements.",0.0147,105.0,0.7048,0.0,0.0,0.0,0.2952
1330,api,2026-02-05,11-3021,"evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",0.0086,69.0,0.4638,0.0,0.0,0.0,0.5362
1330,api,2026-02-05,11-3021,provide users with technical support for computer problems.,0.0075,50.0,1.0,0.0,0.0,0.0,0.0
1330,api,2026-02-05,11-3021,"direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",0.0056,40.0,1.0,0.0,0.0,0.0,0.0
1330,api,2026-02-05,11-3021,"assign and review the work of systems analysts, programmers, and other computer-related workers.",0.0038,28.0,1.0,0.0,0.0,0.0,0.0
1330,api,2026-02-05,11-3021,prepare and review operational reports or project progress reports.,0.0029,17.0,1.0,0.0,0.0,0.0,0.0
1330,api,2026-02-05,11-3021,evaluate data processing proposals to assess project feasibility and requirements.,0.0024,20.0,1.0,0.0,0.0,0.0,0.0
1330,api,2026-02-05,11-3021,"develop and interpret organizational goals, policies, and procedures.",0.00105,17.0,1.0,0.0,0.0,0.0,0.0
1341,api,2026-02-05,11-9031,"collect and analyze survey data, regulatory information, and demographic and employment trends to forecast enrollment patterns and the need for curriculum changes.",0.0057,47.0,1.0,0.0,0.0,0.0,0.0
1341,api,2026-02-05,11-9031,"inform businesses, community groups, and governmental agencies about educational needs, available programs, and program policies.",0.0046,37.0,1.0,0.0,0.0,0.0,0.0
1341,api,2026-02-05,11-9031,monitor students' progress and provide students and teachers with assistance in resolving any problems.,0.0027,19.0,1.0,0.0,0.0,0.0,0.0
1342,api,2026-02-05,11-9111,"develop and maintain computerized record management systems to store and process data such as personnel activities and information, and to produce reports.",0.0117,82.0,0.8171,0.1829,0.0,0.0,0.0
1342,api,2026-02-05,11-9111,"prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",0.0064,46.0,1.0,0.0,0.0,0.0,0.0
1342,api,2026-02-05,11-9111,develop instructional materials and conduct in-service and community-based educational programs.,0.0045,33.0,1.0,0.0,0.0,0.0,0.0
1343,api,2026-02-05,11-1021,"review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",0.0361,306.0,0.8399,0.0,0.1601,0.0,0.0
1343,api,2026-02-05,11-9111,"develop and maintain computerized record management systems to store and process data such as personnel activities and information, and to produce reports.",0.0117,82.0,0.8171,0.1829,0.0,0.0,0.0
1343,api,2026-02-05,11-9111,"prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",0.0064,46.0,1.0,0.0,0.0,0.0,0.0
1343,api,2026-02-05,11-1021,"develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",0.0049,31.0,1.0,0.0,0.0,0.0,0.0
1343,api,2026-02-05,11-9111,develop instructional materials and conduct in-service and community-based educational programs.,0.0045,33.0,1.0,0.0,0.0,0.0,0.0
1343,api,2026-02-05,11-1021,monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,0.002,19.0,1.0,0.0,0.0,0.0,0.0
1344,api,2026-02-05,11-9151,evaluate the work of staff and volunteers to ensure that programs are of appropriate quality and that resources are used effectively.,0.0078,55.0,1.0,0.0,0.0,0.0,0.0
1344,api,2026-02-05,11-9151,research and analyze member or community needs to determine program directions and goals.,0.0073,59.0,1.0,0.0,0.0,0.0,0.0
